Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	10	25,596
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	11	6,170
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	12	1,465
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	1	759
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	2	761
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	3	1,047
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	4	19,919
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	5	27,989
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	6	36,689
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	7	24,006
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	8	33,650
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	9	21,508
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	10	74,642
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	11	11,486
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2009	12	1,200
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	1	193
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	2	227
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	3	366
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	4	3,840
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	5	11,267
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	6	15,031
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	7	17,078
